"","Study","Site","Tran_AGB","Prop_AGB","Age","Type","Disturbance","AGB_Ref","Height","Wood_grav","Allometry"
"1","Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008a",-1.01459343261493,0.532163742690059,25,"Dry","Arable agriculture","51.3","Yes","Yes","General"
"2","Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008b",-1.4496302362917,0.380116959064328,25,"Dry","Arable agriculture","51.3","Yes","Yes","General"
"3","Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008c",-1.39362040121196,0.39766081871345,25,"Dry","Arable agriculture","51.3","Yes","Yes","General"
"4","Read et al 2003","Read et al 2003a",-2.34239047075566,0.17534504391468,2,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"5","Read et al 2003","Read et al 2003b",-3.13811587890869,0.0831242158092848,3,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"6","Read et al 2003","Read et al 2003c",-2.68420998585418,0.127823086574655,4,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"7","Read et al 2003","Read et al 2003d",-2.60936285292027,0.137076537013802,5,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"8","Read et al 2003","Read et al 2003e",-2.05069553252749,0.227964240903388,8,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"9","Read et al 2003","Read et al 2003f",-2.43561099986951,0.160994353826851,8,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"10","Read et al 2003","Read et al 2003g",-1.69176224473026,0.311088456712673,10,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"11","Read et al 2003","Read et al 2003h",-1.52559813083231,0.357277289836888,12,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"12","Read et al 2003","Read et al 2003i",-1.29815221375568,0.428952321204517,12,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"13","Read et al 2003","Read et al 2003j",-1.15762144803704,0.478199498117942,12,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"14","Read et al 2003","Read et al 2003k",-2.75162898656637,0.119989434061943,3,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"15","Read et al 2003","Read et al 2003l",-2.05333423841013,0.227431816680975,5,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"16","Read et al 2003","Read et al 2003m",-1.31580623733743,0.42303374496467,5,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"17","Read et al 2003","Read et al 2003n",-2.6102683095386,0.136960972066301,6,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"18","Read et al 2003","Read et al 2003o",-2.41392288400532,0.164234299676418,8,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"19","Read et al 2003","Read et al 2003p",-1.62033395215462,0.330317638512844,16,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"20","Read et al 2003","Read et al 2003q",-1.61102364121039,0.332893085914284,18,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"21","Read et al 2003","Read et al 2003r",-0.743853544512658,0.644324110149904,24,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"22","Read et al 2003","Read et al 2003s",-0.795285951457506,0.622069603116952,25,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"23","Read et al 2003","Read et al 2003t",-1.38860726484385,0.399260384335997,25,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"24","Read et al 2003","Read et al 2003u",-2.97662875352715,0.0969858922466302,4,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"25","Read et al 2003","Read et al 2003v",-1.95343152123896,0.248359335088616,5,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"26","Read et al 2003","Read et al 2003w",-2.20937838071663,0.19782292608166,5,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"27","Read et al 2003","Read et al 2003x",-3.01563384217804,0.0934491295634063,7,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"28","Read et al 2003","Read et al 2003y",-1.12111238161852,0.49161001296813,8,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"29","Read et al 2003","Read et al 2003z",-2.43901995500956,0.160490431092074,9,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"30","Read et al 2003","Read et al 2003aa",-1.79699580474238,0.2844343144575,15,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"31","Read et al 2003","Read et al 2003ab",-2.10696785511457,0.216842849844775,18,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
"32","Becknell 2012","Becknell 2012A",-2.23775617564157,0.192821674597819,5,"Dry","Pasture","282.9090667","No","Yes","General"
"33","Becknell 2012","Becknell 2012B",-4.04050779794871,0.0345690582280656,5,"Dry","Pasture","282.9090667","No","Yes","General"
"34","Becknell 2012","Becknell 2012C",-2.84446048627025,0.109936738199278,5,"Dry","Pasture","282.9090667","No","Yes","General"
"35","Becknell 2012","Becknell 2012D",-2.06295018332075,0.225500726237418,5,"Dry","Pasture","282.9090667","No","Yes","General"
"36","Becknell 2012","Becknell 2012E",-1.57300508887945,0.343576828886411,5,"Dry","Pasture","282.9090667","No","Yes","General"
"37","Becknell 2012","Becknell 2012F",-1.32018392503332,0.421575389545478,5.5,"Dry","Pasture","282.9090667","No","Yes","General"
"38","Becknell 2012","Becknell 2012G",-1.75005029423994,0.296081709140925,6.5,"Dry","Pasture","282.9090667","No","Yes","General"
"39","Becknell 2012","Becknell 2012H",-1.66303040109319,0.318711241925708,6.5,"Dry","Pasture","282.9090667","No","Yes","General"
"40","Becknell 2012","Becknell 2012I",-1.76947411059019,0.291215481218086,7.5,"Dry","Pasture","282.9090667","No","Yes","General"
"41","Becknell 2012","Becknell 2012J",-1.3807576808339,0.401774680910218,7.5,"Dry","Pasture","282.9090667","No","Yes","General"
"42","Becknell 2012","Becknell 2012K",-4.0202919089078,0.0352625672848399,10,"Dry","Pasture","282.9090667","No","Yes","General"
"43","Becknell 2012","Becknell 2012L",-1.47652741191814,0.371905012544442,10,"Dry","Pasture","282.9090667","No","Yes","General"
"44","Becknell 2012","Becknell 2012M",-0.955853315172094,0.5554183958573,10,"Dry","Pasture","282.9090667","No","Yes","General"
"45","Becknell 2012","Becknell 2012N",-2.21859736317303,0.196185653034781,11,"Dry","Pasture","282.9090667","No","Yes","General"
"46","Becknell 2012","Becknell 2012O",-1.5091374328616,0.362133321476897,12,"Dry","Pasture","282.9090667","No","Yes","General"
"47","Becknell 2012","Becknell 2012P",-1.10450114028722,0.497794933342799,12,"Dry","Pasture","282.9090667","No","Yes","General"
"48","Becknell 2012","Becknell 2012Q",-1.01897505578159,0.530454190636231,12,"Dry","Pasture","282.9090667","No","Yes","General"
"49","Becknell 2012","Becknell 2012R",-1.66924027968963,0.317050991140964,13,"Dry","Pasture","282.9090667","No","Yes","General"
"50","Becknell 2012","Becknell 2012S",-1.50015843197322,0.364803790857085,13,"Dry","Pasture","282.9090667","No","Yes","General"
"51","Becknell 2012","Becknell 2012T",-1.08334339020737,0.505747665385798,15,"Dry","Pasture","282.9090667","No","Yes","General"
"52","Becknell 2012","Becknell 2012U",-1.85910158459052,0.269615607904446,15,"Dry","Pasture","282.9090667","No","Yes","General"
"53","Becknell 2012","Becknell 2012V",-1.76541977460157,0.29222569981353,15,"Dry","Pasture","282.9090667","No","Yes","General"
"54","Becknell 2012","Becknell 2012W",-1.17166532309072,0.473108202438533,15,"Dry","Pasture","282.9090667","No","Yes","General"
"55","Becknell 2012","Becknell 2012X",-1.08329100511612,0.505767459731965,15,"Dry","Pasture","282.9090667","No","Yes","General"
"56","Becknell 2012","Becknell 2012Y",-0.442326923725237,0.782373299597047,17,"Dry","Pasture","282.9090667","No","Yes","General"
"57","Becknell 2012","Becknell 2012Z",-1.39249967130487,0.398017996784124,17,"Dry","Pasture","282.9090667","No","Yes","General"
"58","Becknell 2012","Becknell 2012AA",-1.60226702925684,0.335330009414647,18,"Dry","Pasture","282.9090667","No","Yes","General"
"59","Becknell 2012","Becknell 2012AB",-0.698171736509499,0.664435403900755,18,"Dry","Pasture","282.9090667","No","Yes","General"
"60","Becknell 2012","Becknell 2012AC",-1.04856254466041,0.519002454437774,19,"Dry","Pasture","282.9090667","No","Yes","General"
"61","Becknell 2012","Becknell 2012AD",-1.43868156588392,0.383499197341207,21,"Dry","Pasture","282.9090667","No","Yes","General"
"62","Becknell 2012","Becknell 2012AE",-0.830474694619638,0.607089415703056,21,"Dry","Pasture","282.9090667","No","Yes","General"
"63","Becknell 2012","Becknell 2012AF",-0.783370722662312,0.627187746471753,21,"Dry","Pasture","282.9090667","No","Yes","General"
"64","Becknell 2012","Becknell 2012AG",-0.871795692215934,0.589761586456784,23,"Dry","Pasture","282.9090667","No","Yes","General"
"65","Becknell 2012","Becknell 2012AH",-0.759489124498949,0.637514386172905,23,"Dry","Pasture","282.9090667","No","Yes","General"
"66","Becknell 2012","Becknell 2012AI",-0.629393371370105,0.695296203456741,23,"Dry","Pasture","282.9090667","No","Yes","General"
"67","Becknell 2012","Becknell 2012AJ",-1.67242217063435,0.316203015489995,25,"Dry","Pasture","282.9090667","No","Yes","General"
"68","Becknell 2012","Becknell 2012AK",-1.07967690101848,0.507134330028879,25,"Dry","Pasture","282.9090667","No","Yes","General"
"69","Becknell 2012","Becknell 2012AL",-1.44501037473862,0.381541324423025,25,"Dry","Pasture","282.9090667","No","Yes","General"
"70","Becknell 2012","Becknell 2012AM",-0.950921084488297,0.557399244355854,25,"Dry","Pasture","282.9090667","No","Yes","General"
"71","Becknell 2012","Becknell 2012AN",-0.865049290226374,0.592570969730607,25,"Dry","Pasture","282.9090667","No","Yes","General"
"72","Becknell 2012","Becknell 2012AO",-0.519756293675576,0.745818444283886,25,"Dry","Pasture","282.9090667","No","Yes","General"
"73","Becknell 2012","Becknell 2012AP",-0.482329692081648,0.763404306971262,25,"Dry","Pasture","282.9090667","No","Yes","General"
"74","Becknell 2012","Becknell 2012AQ",-0.397970149691129,0.803600261567722,25,"Dry","Pasture","282.9090667","No","Yes","General"
"75","Becknell 2012","Becknell 2012AR",-0.320137544731743,0.841284455023795,25,"Dry","Pasture","282.9090667","No","Yes","General"
"76","Becknell 2012","Becknell 2012AS",-1.02069429653375,0.529784364100764,25,"Dry","Pasture","282.9090667","No","Yes","General"
"77","Becknell 2012","Becknell 2012AT",-1.03189570112716,0.525433496119197,30,"Dry","Pasture","282.9090667","No","Yes","General"
"78","Becknell 2012","Becknell 2012AU",-0.815681018825908,0.613362456085611,30,"Dry","Pasture","282.9090667","No","Yes","General"
"79","Becknell 2012","Becknell 2012AV",-0.211312417361483,0.894735198672231,30,"Dry","Pasture","282.9090667","No","Yes","General"
"80","Becknell 2012","Becknell 2012AW",0.989292638437605,1.45789636511498,33,"Dry","Pasture","282.9090667","No","Yes","General"
"81","Becknell 2012","Becknell 2012AX",-1.27092559962588,0.438197691739089,35,"Dry","Pasture","282.9090667","No","Yes","General"
"82","Becknell 2012","Becknell 2012AY",-0.447596548731187,0.779864719690866,35,"Dry","Pasture","282.9090667","No","Yes","General"
"83","Becknell 2012","Becknell 2012AZ",-0.410779966986659,0.797450228907775,35,"Dry","Pasture","282.9090667","No","Yes","General"
"84","Becknell 2012","Becknell 2012BA",-1.04305422903187,0.521122216829964,35,"Dry","Pasture","282.9090667","No","Yes","General"
"85","Becknell 2012","Becknell 2012BB",-0.670249825269211,0.676881805994096,35,"Dry","Pasture","282.9090667","No","Yes","General"
"86","Becknell 2012","Becknell 2012BC",-0.348242879539323,0.82761716593652,35,"Dry","Pasture","282.9090667","No","Yes","General"
"87","Becknell 2012","Becknell 2012BD",1.16926595615241,1.52602461644613,35,"Dry","Pasture","282.9090667","No","Yes","General"
"88","Becknell 2012","Becknell 2012BE",-0.462839345155319,0.772624937580341,37,"Dry","Pasture","282.9090667","No","Yes","General"
"89","Becknell 2012","Becknell 2012BF",0.368354456570192,1.18212259472984,37,"Dry","Pasture","282.9090667","No","Yes","General"
"90","Becknell 2012","Becknell 2012BG",-1.0089864432137,0.534356504594838,40,"Dry","Pasture","282.9090667","No","Yes","General"
"91","Becknell 2012","Becknell 2012BH",-0.691258475249178,0.667506355320354,40,"Dry","Pasture","282.9090667","No","Yes","General"
"92","Becknell 2012","Becknell 2012BI",-0.6630994158573,0.680087429661723,40,"Dry","Pasture","282.9090667","No","Yes","General"
"93","Becknell 2012","Becknell 2012BJ",-0.477883046134813,0.765504275017284,40,"Dry","Pasture","282.9090667","No","Yes","General"
"94","Becknell 2012","Becknell 2012BK",0.113974879372528,1.05692582951779,40,"Dry","Pasture","282.9090667","No","Yes","General"
"95","Becknell 2012","Becknell 2012BL",0.36022079290592,1.17818776148824,45,"Dry","Pasture","282.9090667","No","Yes","General"
"96","Becknell 2012","Becknell 2012BM",-0.695306779485813,0.665707190641975,45,"Dry","Pasture","282.9090667","No","Yes","General"
"97","Becknell 2012","Becknell 2012BN",-0.397385616788385,0.803881270589197,45,"Dry","Pasture","282.9090667","No","Yes","General"
"98","Becknell 2012","Becknell 2012BO",-0.856749553977503,0.596037808073544,50,"Dry","Pasture","282.9090667","No","Yes","General"
"99","Becknell 2012","Becknell 2012BP",-0.571783887862371,0.721650608025565,50,"Dry","Pasture","282.9090667","No","Yes","General"
"100","Becknell 2012","Becknell 2012BQ",-0.710755149658215,0.658864002395721,50,"Dry","Pasture","282.9090667","No","Yes","General"
"101","Becknell 2012","Becknell 2012BR",0.847296232908711,1.39999931645881,50,"Dry","Pasture","282.9090667","No","Yes","General"
"102","Becknell 2012","Becknell 2012BS",-1.08662015501584,0.50451051875037,60,"Dry","Pasture","282.9090667","No","Yes","General"
"103","Becknell 2012","Becknell 2012BT",-0.346234499410299,0.82859168401477,60,"Dry","Pasture","282.9090667","No","Yes","General"
"104","Becknell 2012","Becknell 2012BU",-1.17509359232405,0.471871055803105,60,"Dry","Pasture","282.9090667","No","Yes","General"
"105","Becknell 2012","Becknell 2012BV",-0.525370391291124,0.743194633005376,60,"Dry","Pasture","282.9090667","No","Yes","General"
"106","Becknell 2012","Becknell 2012BW",-0.375943919027314,0.814211091524555,65,"Dry","Pasture","282.9090667","No","Yes","General"
"107","Becknell 2012","Becknell 2012BX",0.0806726934136815,1.04031448490866,65,"Dry","Pasture","282.9090667","No","Yes","General"
"108","Becknell 2012","Becknell 2012BY",-0.22679494795942,0.887086097760613,65,"Dry","Pasture","282.9090667","No","Yes","General"
"109","Becknell 2012","Becknell 2012BZ",-0.220302546209734,0.890292074898708,70,"Dry","Pasture","282.9090667","No","Yes","General"
"110","Becknell 2012","Becknell 2012CA",0.0267871221229176,1.01339276023988,70,"Dry","Pasture","282.9090667","No","Yes","General"
"111","Becknell 2012","Becknell 2012CB",0.228758392387044,1.11388300020149,70,"Dry","Pasture","282.9090667","No","Yes","General"
"112","Kotto-Same et al 1997","Kotto-Same et al 1997b",-1.88005049668349,0.264766146993319,10,"Moist","Shifting agriculture","449","Yes","Yes","Local"
"113","Kotto-Same et al 1997","Kotto-Same et al 1997c",-0.691110009851906,0.667572383073497,17.4,"Moist","Shifting agriculture","449","Yes","Yes","Local"
"114","Kotto-Same et al 1997","Kotto-Same et al 1997e",-1.94146569729489,0.250973845297718,10,"Moist","Shifting agriculture","467.22","Yes","Yes","Local"
"115","Kotto-Same et al 1997","Kotto-Same et al 1997f",-1.17075070001767,0.473438637044647,17.4,"Moist","Shifting agriculture","467.22","Yes","Yes","Local"
"116","Kotto-Same et al 1997","Kotto-Same et al 1997h",-1.68537597688834,0.312769825039764,10,"Moist","Shifting agriculture","528.12","Yes","Yes","Local"
"117","Kotto-Same et al 1997","Kotto-Same et al 1997i",-1.32099450154861,0.421305763841551,17.4,"Moist","Shifting agriculture","528.12","Yes","Yes","Local"
"118","Eaton et al 2009","Eaton et al 2009a",-2.38094614455357,0.169274471057446,2,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"119","Eaton et al 2009","Eaton et al 2009b",-2.62466836840231,0.135135163329986,3,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"120","Eaton et al 2009","Eaton et al 2009c",-3.12809857489007,0.0839259635631169,3,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"121","Eaton et al 2009","Eaton et al 2009d",-2.96407722915939,0.0981507677401002,4,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"122","Eaton et al 2009","Eaton et al 2009e",-2.69447589855771,0.126600217310282,4,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"123","Eaton et al 2009","Eaton et al 2009f",-2.69447589855771,0.126600217310282,5,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"124","Eaton et al 2009","Eaton et al 2009k",-2.47646102916814,0.155049825664248,6,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"125","Eaton et al 2009","Eaton et al 2009l",-3.05952590023997,0.0896159805041813,7,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"126","Eaton et al 2009","Eaton et al 2009m",-2.14764068736617,0.209103795725971,8,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"127","Eaton et al 2009","Eaton et al 2009n",-2.32708238717953,0.17780941707715,8,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"128","Eaton et al 2009","Eaton et al 2009o",-2.49652075432137,0.152204896585609,8,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"129","Eaton et al 2009","Eaton et al 2009p",-1.20983792210496,0.45945946005168,8,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"130","Eaton et al 2009","Eaton et al 2009q",-2.49652075432137,0.152204896585609,9,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"131","Eaton et al 2009","Eaton et al 2009r",-1.76789993418931,0.291607374141661,10,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"132","Eaton et al 2009","Eaton et al 2009s",-1.25047844937062,0.445234655874697,12,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"133","Eaton et al 2009","Eaton et al 2009t",-1.37831222213116,0.402560402127532,12,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"134","Eaton et al 2009","Eaton et al 2009u",-1.60602792912863,0.334281627888826,12,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"135","Eaton et al 2009","Eaton et al 2009v",-1.86239713136315,0.268847782728759,15,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"136","Eaton et al 2009","Eaton et al 2009w",-1.49757098240105,0.365576165321432,16,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"137","Eaton et al 2009","Eaton et al 2009x",-1.48807691645817,0.368421094400071,18,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"138","Eaton et al 2009","Eaton et al 2009y",-2.17840050679765,0.203413937568692,18,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"139","Eaton et al 2009","Eaton et al 2009z",-0.60375492089012,0.706970195298749,24,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"140","Eaton et al 2009","Eaton et al 2009aa",-0.647612455725639,0.687055532964487,25,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"141","Eaton et al 2009","Eaton et al 2009ab",-1.27530817492423,0.436699868638778,25,"Dry","Arable agriculture","62.97872286","Yes","Yes","General"
"142","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988a",-2.98702097070687,0.096031357177854,3.5,"Wet","Pasture","306.15","Yes","No","Local"
"143","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988b",-2.3481598203095,0.174424301812837,4.5,"Wet","Pasture","306.15","Yes","No","Local"
"144","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988c",-1.81017195717251,0.281234688878001,8,"Wet","Pasture","306.15","Yes","No","Local"
"145","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988d",-1.77283384757619,0.290380532418749,8,"Wet","Pasture","306.15","Yes","No","Local"
"146","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988e",-4.64984681083173,0.0189449616201209,1,"Wet","Pasture","306.15","Yes","No","Local"
"147","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988f",-4.28731868313226,0.0271108933529316,3.5,"Wet","Pasture","306.15","Yes","No","Local"
"148","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988g",-3.56802250238614,0.054875061244488,3.5,"Wet","Pasture","306.15","Yes","No","Local"
"149","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988h",-3.55585213610313,0.0555283357831129,4,"Wet","Pasture","306.15","Yes","No","Local"
"150","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988i",-2.74397373122502,0.120855789645599,7.5,"Wet","Pasture","306.15","Yes","No","Local"
"151","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988j",-2.87173714738971,0.107137024334477,8,"Wet","Pasture","306.15","Yes","No","Local"
"152","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988k",-4.37658421998688,0.0248244324677446,2.5,"Wet","Pasture","306.15","Yes","No","Local"
"153","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988l",-3.65074202496435,0.0506287767434264,2.5,"Wet","Pasture","306.15","Yes","No","Local"
"154","Uhl & Buschbacher 1988","Uhl & Buschbacher 1988m",-4.86195426200561,0.0153519516576841,8,"Wet","Pasture","306.15","Yes","No","Local"
"155","Cifuentes Jara 2008","Cifuentes Jara 2008a",-3.19364208228684,0.0788113695090439,9,"Dry","Pasture","154.8","Yes","Yes","General"
"156","Cifuentes Jara 2008","Cifuentes Jara 2008b",-1.82996121145372,0.276485788113695,10,"Dry","Pasture","154.8","Yes","Yes","General"
"157","Cifuentes Jara 2008","Cifuentes Jara 2008c",-2.12267753857937,0.213824289405685,10,"Dry","Pasture","154.8","Yes","Yes","General"
"158","Cifuentes Jara 2008","Cifuentes Jara 2008d",-1.61409630595142,0.332041343669251,14,"Dry","Pasture","154.8","Yes","Yes","General"
"159","Cifuentes Jara 2008","Cifuentes Jara 2008f",-1.28291600666606,0.434108527131783,16,"Dry","Pasture","154.8","Yes","Yes","General"
"160","Cifuentes Jara 2008","Cifuentes Jara 2008g",-2.59525470695687,0.138888888888889,17,"Dry","Pasture","154.8","Yes","Yes","General"
"161","Cifuentes Jara 2008","Cifuentes Jara 2008h",-0.906138360410137,0.575581395348837,22,"Dry","Pasture","154.8","Yes","Yes","General"
"162","Cifuentes Jara 2008","Cifuentes Jara 2008i",-0.384513495622386,0.810077519379845,26,"Dry","Pasture","154.8","Yes","Yes","General"
