Study,Site,Disturbance,Age,Type,Ref_Type,Ref_age,Country,Lat,Long
Eaton et al 2006,Eaton et al 2006t,Shifting agriculture,15,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Knight 1975,Knight 1975a,Pasture,15,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011k,Pasture,15,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Sierra et al 2007,Sierra et al 2007af,Pasture,15,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Sierra et al 2007,Sierra et al 2007ag,Pasture,15,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Sierra et al 2007,Sierra et al 2007ai,Pasture,15,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Sierra et al 2007,Sierra et al 2007am,Pasture,15,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Liebsch et al 2008,Liebsch et al 2008d,Shifting agriculture,15,Tropical rainforest,Primary forest,-9999,Brazil,-25.499066,-48.836975
Liebsch et al 2008,Liebsch et al 2008f,Shifting agriculture,15,Tropical rainforest,Primary forest,-9999,Brazil,-25.012195,-47.938843
Liebsch et al 2008,Liebsch et al 2008g,Shifting agriculture,15,Tropical rainforest,Primary forest,-9999,Brazil,-25.012195,-47.938843
Werner 1984,Werner 1984c,Shifting agriculture,16,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Cifuentes Jara 2008,Cifuentes Jara 2008e,Pasture,16,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8757,-85.5853
Cifuentes Jara 2008,Cifuentes Jara 2008f,Pasture,16,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8266,-85.6134
Cifuentes Jara 2008,Cifuentes Jara 2008q,Pasture,16,Tropical moist forest,Primary forest,-9999,Costa Rica,9.8019,-84.9051
de Camargo et al 1999,de Camargo et al 1999a,Pasture,16,NA,Primary forest,-9999,Brazil,-2.983333333,-47.51666667
Guariguata et al 1997,Guariguata et al 1997b,Pasture,16,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-84
Eaton et al 2009,Eaton et al 2009w,Arable agriculture,16,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Hughes et al 1999,Hughes et al 1999f,Arable agriculture,16,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Read et al 2003,Read et al 2003p,Shifting agriculture,16,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Benavides et al 2006,Benavides et al 2006O,Shifting agriculture,16,Tropical rainforest,Primary forest,-9985,Brazil,-3,-69.5
Alves et al 2003,Alves et al 2003g,Pasture,16,Tropical rainforest,Primary forest,-9999,Brazil,-10.31666667,-62.76666667
Eaton et al 2006,Eaton et al 2006u,Shifting agriculture,16,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Letcher et al 2009,Letcher et al 2009g,Shifting agriculture,16,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Sierra et al 2007,Sierra et al 2007an,Pasture,16,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Castillo-Campos et al 2008,Castillo-Campos et al 2008a,Pasture,16,Tropical dry forest,Primary forest,-9999,Mexico,19.451701,-96.724062
Guariguata et al 1997,Guariguata et al 1997a,Pasture,16.5,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-84
Cifuentes Jara 2008,Cifuentes Jara 2008g,Pasture,17,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8705,-85.5946
Guariguata et al 1997,Guariguata et al 1997c,Pasture,17,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-84
Becknell 2012,Becknell 2012Y,Pasture,17,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012Z,Pasture,17,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Barlow et al 2007,Barlow et al 2007a,Plantation,17,Tropical rainforest,Primary forest,-9999,Brazil,-0.45,-51.66666667
Benavides et al 2006,Benavides et al 2006P,Shifting agriculture,17,Tropical rainforest,Primary forest,-9984,Brazil,-3,-69.5
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011l,Pasture,17,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Sierra et al 2007,Sierra et al 2007ak,Pasture,17,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Kotto-Same et al 1997,Kotto-Same et al 1997c,Shifting agriculture,17.4,Tropical moist forest,Primary forest,-9999,Cameroon,2.433,11.25
Kotto-Same et al 1997,Kotto-Same et al 1997f,Shifting agriculture,17.4,Tropical moist forest,Primary forest,-9999,Cameroon,3.6,11.62
Kotto-Same et al 1997,Kotto-Same et al 1997i,Shifting agriculture,17.4,Tropical moist forest,Primary forest,-9999,Cameroon,4.25,11.25
Rhodes et al 2000,Rhodes et al 2000a,Pasture,17.5,Tropical montane forest,Primary forest,-9999,Ecuador,0.083333333,-78.61666667
Cifuentes Jara 2008,Cifuentes Jara 2008an,Pasture,18,Tropical rainforest,Primary forest,-9999,Costa Rica,10.4025,-84.1125
Eaton et al 2009,Eaton et al 2009x,Arable agriculture,18,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009y,Arable agriculture,18,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Read et al 2003,Read et al 2003q,Shifting agriculture,18,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Read et al 2003,Read et al 2003ab,Shifting agriculture,18,Tropical dry forest,Primary forest,-9999,Mexico,17.88333333,-89.28333333
Becknell 2012,Becknell 2012AA,Pasture,18,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AB,Pasture,18,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006Q,Shifting agriculture,18,Tropical rainforest,Primary forest,-9983,Brazil,-3,-69.5
Gehring et al 2005,Gehring et al 2005j,Shifting agriculture,18,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Lebrija-Trejos et al 2008,Lebrija-Trejos et al 2008h,Shifting agriculture,18,Tropical dry forest,Primary forest,-9999,Mexico,16.65833333,-95.01111111
Letcher et al 2009,Letcher et al 2009h,Pasture,18,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Letcher et al 2009,Letcher et al 2009i,Pasture,18,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Letcher et al 2009,Letcher et al 2009j,Pasture,18,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Guggenberger et al 1999,Guggenberger et al 1999c,Shifting agriculture,18.5,Tropical rainforest,Primary forest,-9999,Costa Rica,10.67,-84.08
Cifuentes Jara 2008,Cifuentes Jara 2008aw,Pasture,19,Tropical rainforest,Primary forest,-9999,Costa Rica,10.297,-84.7515
Becknell 2012,Becknell 2012AC,Pasture,19,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006R,Shifting agriculture,19,Tropical rainforest,Primary forest,-9982,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009k,Pasture,19,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Letcher et al 2009,Letcher et al 2009l,Pasture,19,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Sierra et al 2007,Sierra et al 2007aj,Pasture,19,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Sierra et al 2007,Sierra et al 2007ao,Pasture,19,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Klanderaud et al 2009,Klanderaud et al 2009d,Shifting agriculture,19.5,Tropical rainforest,Primary forest,-9999,Madagascar,-18.9,48.46666667
Cifuentes Jara 2008,Cifuentes Jara 2008r,Pasture,20,Tropical moist forest,Primary forest,-9999,Costa Rica,9.8397,-84.5478
Cifuentes Jara 2008,Cifuentes Jara 2008ao,Pasture,20,Tropical rainforest,Primary forest,-9999,Costa Rica,8.4055,-83.3408
Cifuentes Jara 2008,Cifuentes Jara 2008ax,Pasture,20,Tropical rainforest,Primary forest,-9999,Costa Rica,10.2865,-84.1761
Cifuentes Jara 2008,Cifuentes Jara 2008ay,Pasture,20,Tropical rainforest,Primary forest,-9999,Costa Rica,10.2975,-84.7621
Hughes et al 1999,Hughes et al 1999g,Arable agriculture,20,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Hughes et al 1999,Hughes et al 1999h,Arable agriculture,20,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Johnson et al 2001,Johnson et al 2001b,Shifting agriculture,20,NA,Primary forest,-9999,Brazil,-1.2,-47.25833333
Kennard et al 2002,Kennard et al 2002h,Shifting agriculture,20,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Benavides et al 2006,Benavides et al 2006S,Shifting agriculture,20,Tropical rainforest,Primary forest,-9981,Brazil,-3,-69.5
Drew et al 2004,Drew et al 2004c,Pasture,20,Tropical rainforest,Primary forest,-9999,Costa Rica,9.333333333,-83.85
Gehring et al 2005,Gehring et al 2005k,Shifting agriculture,20,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Kappelle et al 1993,Kappelle et al 1993b,Pasture,20,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007b,Pasture,20,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Dewalt et al 2000,Dewalt et al 2000a,Pasture,20,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
Dewalt et al 2000,Dewalt et al 2000b,Pasture,20,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
Howorth et al 2006,Howorth et al 2006b,Shifting agriculture,20,Tropical montane forest,Primary forest,-9999,Venezuela,10.414631,-67.334948
Kappelle et al 1995,Kappelle et al 1995d,Pasture,20,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Kappelle et al 1995,Kappelle et al 1995e,Pasture,20,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Saldarriaga et al 1988,Saldarriaga et al 1988e,Shifting agriculture,20,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988f,Shifting agriculture,20,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988g,Shifting agriculture,20,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988h,Shifting agriculture,20,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Sierra et al 2007,Sierra et al 2007ap,Pasture,20,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
DeWalt et al 2003,DeWalt et al 2003a,Arable agriculture,20,Tropical moist forest,Primary forest,-9999,Panama,9.150909,-79.849319
DeWalt et al 2003,DeWalt et al 2003b,Arable agriculture,20,Tropical moist forest,Primary forest,-9999,Panama,9.150909,-79.849319
Andel et al 2001,Andel et al 2001a,Pasture,20,Tropical moist forest,Primary forest,NA,Guyana,7.54221,-59.732666
Liebsch et al 2008,Liebsch et al 2008b,Shifting agriculture,20,Tropical rainforest,Primary forest,-9999,Brazil,-25.425912,-48.707886
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007h,Pasture,20,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007i,Pasture,20,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Cifuentes Jara 2008,Cifuentes Jara 2008ae,Pasture,21,Tropical rainforest,Primary forest,-9999,Costa Rica,10.431,-84.0157
Becknell 2012,Becknell 2012AD,Pasture,21,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AE,Pasture,21,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AF,Pasture,21,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006T,Shifting agriculture,21,Tropical rainforest,Primary forest,-9980,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009m,Pasture,21,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Chazdon et al 2009,Chazdon et al 2009g,Pasture,21,Tropical rainforest,Primary forest,-9999,Costa Rica,10.453566,-84.003396
Chazdon et al 2009,Chazdon et al 2009i,Pasture,21,Tropical rainforest,Primary forest,-9999,Costa Rica,10.453566,-84.003396
Cifuentes Jara 2008,Cifuentes Jara 2008h,Pasture,22,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8533,-85.6081
Cifuentes Jara 2008,Cifuentes Jara 2008z,Pasture,22,Tropical rainforest,Primary forest,-9999,Costa Rica,9.7713,-84.614
Benavides et al 2006,Benavides et al 2006U,Shifting agriculture,22,Tropical rainforest,Primary forest,-9979,Brazil,-3,-69.5
Grau et al 1997,Grau et al 1997b,Arable agriculture,22.5,Tropical montane forest,Primary forest,-9999,Argentina,-26.718627,-65.366936
Kennard et al 2002,Kennard et al 2002i,Shifting agriculture,23,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Becknell 2012,Becknell 2012AG,Pasture,23,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AH,Pasture,23,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AI,Pasture,23,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006V,Shifting agriculture,23,Tropical rainforest,Primary forest,-9978,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009n,Pasture,23,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011m,Pasture,23,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Sierra et al 2007,Sierra et al 2007aq,Pasture,23,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Eaton et al 2009,Eaton et al 2009z,Arable agriculture,24,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Read et al 2003,Read et al 2003r,Shifting agriculture,24,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Benavides et al 2006,Benavides et al 2006W,Shifting agriculture,24,Tropical rainforest,Primary forest,-9977,Brazil,-3,-69.5
Köster et al 2009,Köster et al 2009b,Pasture,24,Tropical montane forest,Primary forest,-9999,Ecuador,-0.416666667,-79.01666667
Letcher et al 2009,Letcher et al 2009o,Pasture,24,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Letcher et al 2009,Letcher et al 2009p,Pasture,24,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Pena Claros et al 2003,Pena Claros et al 2003e,Arable agriculture,24,Tropical moist forest,Primary forest,-9999,Bolivia,-11.98333333,-65.71666667
Pena Claros et al 2003,Pena Claros et al 2003i,Arable agriculture,24,Tropical moist forest,Primary forest,-9999,Bolivia,-11.75,-67.33333333
Chazdon et al 2009,Chazdon et al 2009c,Pasture,24,Tropical rainforest,Primary forest,-9999,Costa Rica,10.449367,-84.098926
Cifuentes Jara 2008,Cifuentes Jara 2008ap,Pasture,25,Tropical rainforest,Primary forest,-9999,Costa Rica,10.506,-84.1327
Eaton et al 2009,Eaton et al 2009aa,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009ab,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Saynes et al 2005,Saynes et al 2005b,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.46666667,-99.01666667
Álvarez-Yépiz et al 2008,Álvarez-Yépiz et al 2008a,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,27.002549,-108.90269
Álvarez-Yépiz et al 2008,Álvarez-Yépiz et al 2008b,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,27.002549,-108.90269
Álvarez-Yépiz et al 2008,Álvarez-Yépiz et al 2008c,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,27.002549,-108.90269
Read et al 2003,Read et al 2003s,Shifting agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Read et al 2003,Read et al 2003t,Shifting agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Becknell 2012,Becknell 2012AJ,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AK,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AL,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AM,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AN,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AO,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AP,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AQ,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AR,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AS,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006X,Shifting agriculture,25,Tropical rainforest,Primary forest,-9976,Brazil,-3,-69.5
Gehring et al 2005,Gehring et al 2005m,Shifting agriculture,25,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Laska et al 2006,Laska et al 2006b,Pasture,25,Tropical moist forest,Primary forest,-9999,Costa Rica,10.431936,-84.017185
Kappelle et al 1995,Kappelle et al 1995f,Pasture,25,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Letcher et al 2009,Letcher et al 2009q,Pasture,25,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Nadkarni et al 2004,Nadkarni et al 2004a,Pasture,25,Tropical montane forest,Primary forest,-9999,Costa Rica,10.3,-84.8
Piotto et al 2009,Piotto et al 2009b,Shifting agriculture,25,Tropical moist forest,Primary forest,-9999,Brazil,-14.41666667,-39.08333333
Liebsch et al 2008,Liebsch et al 2008e,Shifting agriculture,25,Tropical rainforest,Primary forest,-9999,Brazil,-25.499066,-48.836975
Liebsch et al 2008,Liebsch et al 2008h,Shifting agriculture,25,Tropical rainforest,Primary forest,-9999,Brazil,-25.012195,-47.938843
Cifuentes Jara 2008,Cifuentes Jara 2008i,Pasture,26,Tropical dry forest,Primary forest,-9999,Costa Rica,10.7992,-85.6485
Cifuentes Jara 2008,Cifuentes Jara 2008af,Pasture,26,Tropical rainforest,Primary forest,-9999,Costa Rica,10.3948,-83.9868
Hughes et al 1999,Hughes et al 1999i,Arable agriculture,26,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Benavides et al 2006,Benavides et al 2006Y,Shifting agriculture,26,Tropical rainforest,Primary forest,-9975,Brazil,-3,-69.5
Cifuentes Jara 2008,Cifuentes Jara 2008j,Pasture,27,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8393,-85.6152
Cifuentes Jara 2008,Cifuentes Jara 2008ag,Pasture,27,Tropical rainforest,Primary forest,-9999,Costa Rica,10.4165,-84.0029
Benavides et al 2006,Benavides et al 2006Z,Shifting agriculture,27,Tropical rainforest,Primary forest,-9974,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009r,Pasture,27,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Pena Claros et al 2003,Pena Claros et al 2003j,Arable agriculture,27,Tropical moist forest,Primary forest,-9999,Bolivia,-11.75,-67.33333333
Cifuentes Jara 2008,Cifuentes Jara 2008s,Pasture,28,Tropical moist forest,Primary forest,-9999,Costa Rica,9.7908,-84.9244
Benavides et al 2006,Benavides et al 2006AA,Shifting agriculture,28,Tropical rainforest,Primary forest,-9973,Brazil,-3,-69.5
Cifuentes Jara 2008,Cifuentes Jara 2008aq,Pasture,29,Tropical rainforest,Primary forest,-9999,Costa Rica,10.3888,-84.1327
Benavides et al 2006,Benavides et al 2006AB,Shifting agriculture,29,Tropical rainforest,Primary forest,-9972,Brazil,-3,-69.5
Chazdon et al 2009,Chazdon et al 2009h,Pasture,29,Tropical rainforest,Primary forest,-9999,Costa Rica,10.453566,-84.003396
Chazdon et al 2009,Chazdon et al 2009j,Pasture,29,Tropical rainforest,Primary forest,-9999,Costa Rica,10.453566,-84.003396
